Market,Product,Country,Date,Retail (MT),Wholesale (MT),Currency
Bujumbura,Maize,Burundi,10/4/11,0,548798,BIF
Bujumbura,Maize,Burundi,10/5/11,0,549000,BIF
Bujumbura,Maize,Burundi,10/6/11,0,498970,BIF
Bujumbura,Maize,Burundi,10/7/11,0,549299,BIF
Bujumbura,Maize,Burundi,10/10/11,0,549872,BIF
Bujumbura,Maize,Burundi,10/11/11,0,534063,BIF
Bujumbura,Maize,Burundi,10/12/11,0,549063,BIF
Bujumbura,Maize,Burundi,10/13/11,0,568465,BIF
Bujumbura,Maize,Burundi,10/14/11,0,568855,BIF
Bujumbura,Maize,Burundi,10/15/11,0,572481,BIF
Bujumbura,Maize,Burundi,10/17/11,0,599542,BIF
Bujumbura,Maize,Burundi,10/18/11,0,596238,BIF
Bujumbura,Maize,Burundi,10/19/11,0,599089,BIF
Bujumbura,Maize,Burundi,10/20/11,0,596998,BIF
Bujumbura,Maize,Burundi,10/21/11,0,550405,BIF
Bujumbura,Maize,Burundi,10/26/11,0,549611,BIF
Bujumbura,Maize,Burundi,10/27/11,0,549580,BIF
Bujumbura,Maize,Burundi,10/28/11,0,599123,BIF
Bujumbura,Maize,Burundi,10/29/11,0,598789,BIF
Bujumbura,Maize,Burundi,10/31/11,0,601564,BIF
Bujumbura,Maize,Burundi,11/1/11,0,550060,BIF
Bujumbura,Maize,Burundi,11/2/11,0,552529,BIF
Bujumbura,Maize,Burundi,11/3/11,0,599873,BIF
Bujumbura,Maize,Burundi,11/4/11,0,602446,BIF
Bujumbura,Maize,Burundi,11/7/11,0,549675,BIF
Bujumbura,Maize,Burundi,11/8/11,0,547926,BIF
Bujumbura,Maize,Burundi,11/9/11,0,548540,BIF
Bujumbura,Maize,Burundi,11/10/11,0,549181,BIF
Bujumbura,Maize,Burundi,11/11/11,0,549280,BIF
Bujumbura,Maize,Burundi,11/16/11,0,596942,BIF
Bujumbura,Maize,Burundi,11/18/11,0,552159,BIF
Bujumbura,Maize,Burundi,11/28/11,0,595700,BIF
Bujumbura,Maize,Burundi,11/29/11,0,595700,BIF
Bujumbura,Maize,Burundi,11/30/11,0,550626,BIF
Bujumbura,Maize,Burundi,12/1/11,0,550626,BIF
Bujumbura,Maize,Burundi,12/2/11,0,547362,BIF
