id,source,marketplace,country,ProductCat,ProductAgg,Product,Date,DateFormatted,DateMarket,Wholesale,Retail,Currency,Unit,Active,
542656,EAGC-RATIN,Kampala,UGA,Peas,Peas,Cowpeas,4/22/20 0:00,4/22/20 0:,4/22/20 0:KampalaCowpeas,160,138,KES,1Kg,1,4/23/20 7:34
542658,EAGC-RATIN,Ruhengeri,RWA,Cereals - Other,Wheat,Wheat,4/22/20 0:00,4/22/20 0:,4/22/20 0:RuhengeriWheat,75,70,KES,1Kg,1,4/23/20 7:34
542661,EAGC-RATIN,Gitega,BDI,Beans,Beans,Mixed Beans,4/22/20 0:00,4/22/20 0:,4/22/20 0:GitegaMixed Beans,74,69,KES,1Kg,1,4/23/20 7:34
542662,EAGC-RATIN,Gitega,BDI,Peas,Peas,Green Peas,4/22/20 0:00,4/22/20 0:,4/22/20 0:GitegaGreen Peas,133,127,KES,1Kg,1,4/23/20 7:34
542663,EAGC-RATIN,Gicumbi,RWA,Cereals - Other,Sorghum,Red Sorghum,4/22/20 0:00,4/22/20 0:,4/22/20 0:GicumbiRed Sorghum,38,32,KES,1Kg,1,4/23/20 7:34
542664,EAGC-RATIN,Kobero,BDI,Cereals - Other,Millet,Millet Grain,4/22/20 0:00,4/22/20 0:,4/22/20 0:KoberoMillet Grain,80,74,KES,1Kg,1,4/23/20 7:34
542665,EAGC-RATIN,Gitega,BDI,Cereals - Rice,Rice,Imported Rice,4/22/20 0:00,4/22/20 0:,4/22/20 0:GitegaImported Rice,133,127,KES,1Kg,1,4/23/20 7:34
542669,EAGC-RATIN,Masindi,UGA,Beans,Beans,Yellow Beans,4/22/20 0:00,4/22/20 0:,4/22/20 0:MasindiYellow Beans,133,120,KES,1Kg,1,4/23/20 7:35
542670,EAGC-RATIN,Bujumbura,BDI,Beans,Beans,Red Beans,4/22/20 0:00,4/22/20 0:,4/22/20 0:BujumburaRed Beans,80,77,KES,1Kg,1,4/23/20 7:35
542671,EAGC-RATIN,Bujumbura,BDI,Beans,Beans,Yellow Beans,4/22/20 0:00,4/22/20 0:,4/22/20 0:BujumburaYellow Beans,127,122,KES,1Kg,1,4/23/20 7:35
542673,EAGC-RATIN,Ruhengeri,RWA,Cereals - Maize,Maize,Dry Maize,4/22/20 0:00,4/22/20 0:,4/22/20 0:RuhengeriDry Maize,30,29,KES,1Kg,1,4/23/20 7:35
542674,EAGC-RATIN,Kapchorwa,UGA,Beans,Beans,Mixed Beans,4/22/20 0:00,4/22/20 0:,4/22/20 0:KapchorwaMixed Beans,93,80,KES,1Kg,1,4/23/20 7:35
542675,EAGC-RATIN,Kabale,UGA,Peas,Peas,Green Peas,4/22/20 0:00,4/22/20 0:,4/22/20 0:KabaleGreen Peas,160,106,KES,1Kg,1,4/23/20 7:35
542680,EAGC-RATIN,Masindi,UGA,Cereals - Rice,Rice,Imported Rice,4/22/20 0:00,4/22/20 0:,4/22/20 0:MasindiImported Rice,106,101,KES,1Kg,1,4/23/20 7:35
542683,EAGC-RATIN,Lira,UGA,Cereals - Other,Sorghum,Red Sorghum,4/22/20 0:00,4/22/20 0:,4/22/20 0:LiraRed Sorghum,27,24,KES,1Kg,1,4/23/20 7:35
542685,EAGC-RATIN,Kobero,BDI,Beans,Beans,Yellow Beans,4/22/20 0:00,4/22/20 0:,4/22/20 0:KoberoYellow Beans,117,106,KES,1Kg,1,4/23/20 7:35
542686,EAGC-RATIN,Ngozi,BDI,Beans,Beans,Yellow Beans,4/22/20 0:00,4/22/20 0:,4/22/20 0:NgoziYellow Beans,133,127,KES,1Kg,1,4/23/20 7:35
542688,EAGC-RATIN,Kimironko,RWA,Cereals - Other,Millet,Millet Grain,4/22/20 0:00,4/22/20 0:,4/22/20 0:KimironkoMillet Grain,86,80,KES,1Kg,1,4/23/20 7:35
542689,EAGC-RATIN,Kapchorwa,UGA,Beans,Beans,Yellow Beans,4/22/20 0:00,4/22/20 0:,4/22/20 0:KapchorwaYellow Beans,133,114,KES,1Kg,1,4/23/20 7:35
542690,EAGC-RATIN,Masindi,UGA,Beans,Beans,Mixed Beans,4/22/20 0:00,4/22/20 0:,4/22/20 0:MasindiMixed Beans,93,80,KES,1Kg,1,4/23/20 7:35
542692,EAGC-RATIN,Lira,UGA,Cereals - Maize,Maize,Dry Maize,4/22/20 0:00,4/22/20 0:,4/22/20 0:LiraDry Maize,40,35,KES,1Kg,1,4/23/20 7:35
